time_MJD,flux_density_Jy,flux_density_se_Jy
59286.1098171296,0.0612824927783119,0.00383960815690495
59293.1503506944,0.0493108985285785,0.00146701451820006
59301.2904444444,0.0450594729810357,0.00169795550860506
59309.1848368056,0.0466422959830086,0.00156443691167466
59314.0932731482,0.0509409642548046,0.00206202277123068
59323.0027395833,0.0464417696824112,0.0159863238467626
59328.023806713,0.0538654124879838,0.00224784668691629
59335.0774861111,0.0470128910541929,0.00198366852970117
59341.1088391204,0.0415969463942872,0.00176008446758695
59349.9197048611,0.0560937471535347,0.00396968656826641
59356.0323472222,0.0479868741508008,0.00196227068972303
59361.9651435185,0.0537206857042743,0.00190556730022886
59370.9068344907,0.052806787277473,0.00219668060410292
59377.956306713,0.0466637128655456,0.00171530516518415
59384.9096157407,0.0531203271292716,0.00197930790751113
59392.0339409722,0.0437822762965371,0.00156468613953302
59399.9012951389,0.0487706524658007,0.00179956009469336
59407.018880787,0.0483018964986447,0.00174982619729505
59421.7017615741,0.0621304102832212,0.00803603921392403
59426.8981365741,0.0550692417519279,0.00158753172492505
59433.9088622685,0.0539864315184309,0.00169362340089109
59441.9206689815,0.0661949832819295,0.00193703034735408
59448.6725960648,0.064704234201872,0.00480597467599435
59454.6762152778,0.0590343276837439,0.00268854579834144
59462.7508773148,0.0500997601347203,0.00146882056480969
59470.6458217593,0.0614162258867307,0.00250374945801019
59477.6779664352,0.0534965380446056,0.00179031814793186
59484.593900463,0.0586596564245792,0.00256085390584846
59491.6581018519,0.0505853035979616,0.00120950262825015
59504.5082060185,0.0563600385820704,0.00401813088271386
59510.5187453704,0.0459136112542219,0.0020762578753878
59526.6378993056,0.0415662159613687,0.00130570343127039
59537.6773240741,0.0538298522118024,0.00195394522655442
